,Oligos,Neurons,Vascular,Astrocytes,Ependymal,Immune,Blood
0,0.114689976,0.6904321,0.0,0.0,0.0,0.031209197,0.0
1,0.083331406,0.6610217,0.0,0.21120442,0.0,0.045381237,0.0
2,0.11701903,0.59660167,0.0,0.07772762,0.0,0.04488167,0.0
3,0.0470008,0.5246855,0.0,0.5912444,0.0,0.015350835,0.0
4,0.11379778,0.57801235,0.0,0.20969217,0.0,0.08751491,0.0
5,0.08652587,0.556487,0.0,0.08418476,0.0,0.08797513,0.0
6,0.21247807,0.22495817,0.0,0.4198959,0.0,0.11653669,0.0
7,0.16142814,0.7782214,0.0,0.21127896,0.0,0.04312672,0.0
8,0.18303792,0.5379203,0.0,0.28959435,0.0,0.024437986,0.0
9,0.15855692,0.43053386,0.0,0.34581682,0.0,0.13153258,0.0
10,0.30796376,0.23203367,0.0,0.34892327,0.0,0.0,0.0
11,0.17160591,0.5659224,0.0,0.1402374,0.0,0.042306714,0.0
12,0.20877358,0.5114473,0.0,0.039919667,0.0,0.0,0.0
13,0.13527568,0.483749,0.0,0.09586396,0.0,0.060480744,0.0
14,0.42090207,0.26754248,0.0,0.20910826,0.0,0.01713051,0.0
15,0.31329814,0.25949022,0.0,0.14240131,0.0,0.0,0.0
16,0.087696426,0.82704234,0.0,0.0,0.0,0.02390827,0.0
17,0.31093854,0.26475003,0.0,0.13505933,0.0,0.0,0.0
18,0.2181955,0.33202285,0.0,0.0,0.0,0.068044044,0.0
19,0.082617745,0.46997797,0.0,0.25747302,0.0,0.16710903,0.0
20,0.106538974,0.50290203,0.0,0.12980963,0.0,0.09317213,0.0
21,0.18325594,0.34805673,0.0,0.2679228,0.0,0.12051099,0.0
22,0.2880786,0.28142372,0.0,0.26066488,0.0,0.040215794,0.0
23,0.3252681,0.34678334,0.0,0.23345867,0.0,0.0047964845,0.0
24,0.13880275,0.56637883,0.0,0.12940764,0.0,0.04988526,0.0
25,0.18444782,0.6113429,0.0,0.0,0.0,0.025325276,0.0
26,0.1322178,0.49753726,0.0,0.22300866,0.0,0.02009508,0.0
27,0.37539655,0.196788,0.0,0.19354165,0.0,0.0,0.0
28,0.36256856,0.19852191,0.0,0.19389968,0.0,0.0,0.0
29,0.23508403,0.31863335,0.0,0.39814717,0.0,0.017061923,0.0
30,0.24557824,0.17611223,0.0,0.4489427,0.0,0.065204,0.0
31,0.14258128,0.5263189,0.0,0.060107175,0.0,0.05575846,0.0
32,0.29386014,0.17094931,0.0,0.6704667,0.0,0.020199543,0.0
33,0.21588784,0.35372788,0.0,0.45425165,0.0,0.08197008,0.0
34,0.16956665,0.3826234,0.0,0.28799835,0.0,0.093700275,0.0
35,0.15930344,0.21814084,0.0,0.6536942,0.0,0.1434587,0.0
36,0.25129429,0.28577727,0.0,0.1890063,0.0,0.051427606,0.0
37,0.097102806,0.5214233,0.0,0.2169909,0.0,0.11304883,0.0
38,0.16629995,0.46034205,0.0,0.0,0.0,0.07852516,0.0
39,0.1927217,0.40967995,0.0,0.21280164,0.0,0.0,0.0
40,0.043477032,0.76080894,0.0,0.2606486,0.0,0.060581204,0.0
41,0.09412456,0.7350972,0.0,0.053026,0.0,0.028149495,0.0
42,0.2467249,0.41955292,0.0,0.23226672,0.0,0.027391206,0.0
43,0.17862456,0.43804914,0.0,0.100965455,0.0,0.022895416,0.0
44,0.3051877,0.22090554,0.0,0.07695398,0.0,0.022126457,0.0
45,0.1848898,0.49240422,0.0,0.061412893,0.0,0.043699473,0.0
46,0.017664813,0.729669,0.0,0.16143174,0.0,0.058821894,0.0
47,0.18459734,0.2958648,0.0,0.33752707,0.0,0.10637914,0.0
48,0.13216248,0.4822761,0.0,0.37964967,0.0,0.08725968,0.0
49,0.3079031,0.26412457,0.0,0.057604663,0.0,0.036769256,0.0
50,0.27357388,0.39180344,0.0,0.21908617,0.0,0.0,0.0
51,0.20797582,0.43260294,0.0,0.12333079,0.0,0.010520577,0.0
52,0.2161186,0.45603225,0.0,0.114186935,0.0,0.0,0.0
53,0.3578186,0.20061034,0.0,0.13580199,0.0,0.0,0.0
54,0.30831897,0.26820856,0.0,0.1553097,0.0,0.0,0.0
55,0.34438467,0.24135718,0.0,0.15218696,0.0,0.0,0.0
56,0.2898472,0.33350012,0.0,0.10826947,0.0,0.007577692,0.0
